property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_pho,Quận Long Biên,30 m2,3,3,3 tỷ 250 triệu,Hôm nay,3250000000.0
nha_pho,Quận Long Biên,30 m2,3,3,2 tỷ 700 triệu,Hôm nay,2700000000.0
nha_pho,Quận Long Biên,30 m2,3,3,2 tỷ 700 triệu,Hôm nay,2700000000.0
nha_pho,Quận Long Biên,40 m2,3,4,2 tỷ 990 triệu,Hôm nay,2990000000.0
nha_pho,Quận Long Biên,33 m2,3,4,2 tỷ 600 triệu,Hôm nay,2600000000.0
nha_pho,Quận Long Biên,40 m2,4,3,4 tỷ 350 triệu,Hôm nay,4350000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 980 triệu,Hôm nay,3980000000.0
nha_pho,Quận Long Biên,52 m2,4,4,4 tỷ,Hôm nay,4000000000.0
nha_pho,Quận Long Biên,30 m2,3,4,2 tỷ 800 triệu,Hôm nay,2800000000.0
nha_pho,Quận Long Biên,41 m2,3,4,3 tỷ 600 triệu,Hôm nay,3600000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 800 triệu,Hôm nay,3800000000.0
nha_pho,Quận Long Biên,30 m2,3,4,6 tỷ 680 triệu,Hôm nay,6680000000.0
dat,Quận Long Biên,31 m2,0,0,2 tỷ 440 triệu,Hôm nay,2440000000.0
nha_pho,Quận Long Biên,30 m2,3,4,5 tỷ 480 triệu,Hôm nay,5480000000.0
nha_mat_pho,Quận Hai Bà Trưng,118 m2,9,9,55 tỷ,Hôm nay,55000000000.0
biet_thu,Quận Hoàng Mai,85 m2,5,5,22 tỷ,Hôm nay,22000000000.0
nha_mat_pho,Quận Thanh Xuân,110 m2,22,24,36 tỷ,Hôm nay,36000000000.0
nha_mat_pho,Quận Hai Bà Trưng,150 m2,6,4,52 tỷ,Hôm nay,52000000000.0
nha_mat_pho,Quận Hai Bà Trưng,120 m2,4,5,48 tỷ,Hôm nay,48000000000.0
nha_mat_pho,Quận Đống Đa,465 m2,3,3,248 tỷ,Hôm nay,248000000000.0
nha_mat_pho,Quận Đống Đa,465 m2,3,3,248 tỷ,Hôm nay,248000000000.0
nha_mat_pho,Quận Đống Đa,400 m2,9,9,150 tỷ,Hôm nay,150000000000.0
nha_mat_pho,Quận Hai Bà Trưng,80 m2,2,2,31 tỷ,Hôm nay,31000000000.0
nha_mat_pho,Quận Hoàn Kiếm,166 m2,5,5,53 tỷ,Hôm nay,53000000000.0
nha_mat_pho,Quận Hai Bà Trưng,138 m2,10,7,31 tỷ,Hôm nay,31000000000.0
nha_pho,Quận Hoàng Mai,125 m2,6,7,25 tỷ,Hôm nay,25000000000.0
nha_mat_pho,Quận Long Biên,495 m2,8,9,235 tỷ,Hôm nay,235000000000.0
nha_mat_pho,Quận Hai Bà Trưng,435 m2,5,5,81 tỷ,Hôm nay,81000000000.0
nha_mat_pho,Quận Hai Bà Trưng,89 m2,3,3,29 tỷ 500 triệu,Hôm nay,29500000000.0
nha_mat_pho,Quận Hai Bà Trưng,197 m2,14,14,68 tỷ,Hôm nay,68000000000.0
nha_mat_pho,Quận Cầu Giấy,6300 m2,100,100,1050 tỷ,Hôm nay,1050000000000.0
nha_mat_pho,Quận Hai Bà Trưng,228 m2,8,9,60 tỷ,Hôm nay,60000000000.0
nha_mat_pho,Quận Cầu Giấy,270 m2,6,7,133 tỷ,Hôm nay,133000000000.0
nha_mat_pho,Quận Hai Bà Trưng,95 m2,5,5,41 tỷ,Hôm nay,41000000000.0
nha_mat_pho,Quận Hai Bà Trưng,161 m2,8,8,40 tỷ,Hôm nay,40000000000.0
nha_mat_pho,Quận Đống Đa,90 m2,8,9,54 tỷ,Hôm nay,54000000000.0
nha_mat_pho,Quận Đống Đa,330 m2,8,8,180 tỷ,Hôm nay,180000000000.0
nha_mat_pho,Quận Hai Bà Trưng,97 m2,6,6,37 tỷ,Hôm nay,37000000000.0
nha_mat_pho,Quận Hai Bà Trưng,97 m2,6,8,35 tỷ,Hôm nay,35000000000.0
